時間,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
2025-01-08 02:29,開倉,-1.0,98792.6300382981,-0.10117151447557703,98792.6300382981,-0.10117151447557703,,,,
2025-01-08 04:59,平倉,,,,,,96991.4061907617,0.10117151447557703,-192.04531202021857,0.0
2025-01-08 07:59,開倉,-1.0,97333.30900000001,-0.10061366256576967,97333.30900000001,-0.10061366256576967,,,,
2025-01-08 08:44,開倉,-1.0,97292.33430610575,-0.1005554303299725,97312.82758350673,-0.20116909289574217,,,,
2025-01-08 08:59,開倉,-1.0,97333.20905,-0.10041273947959208,97319.61366497948,-0.30158183237533426,,,,
2025-01-08 09:14,開倉,-1.0,97268.0325481732,-0.10037959337564219,97306.73259928718,-0.40196142575097643,,,,
2025-01-08 09:29,開倉,-1.0,97351.3,-0.10019349214588297,97315.6250015203,-0.5021549178968594,,,,
2025-01-08 11:59,平倉,,,,,,95671.62424660021,0.5021549178968594,-873.5850407278793,0.0
2025-01-08 13:44,開倉,-1.0,96407.9719,-0.09201593186927517,96407.9719,-0.09201593186927517,,,,
2025-01-08 14:29,開倉,-1.0,96151.90000000001,-0.09216877399371284,96279.82970183725,-0.18418470586298802,,,,
2025-01-08 14:44,開倉,-1.0,96354.42077406745,-0.09188312168142936,96304.65570429845,-0.2760678275444174,,,,
2025-01-08 15:44,開倉,-1.0,96206.97245000002,-0.09193196527234902,96280.25293636991,-0.3679997928167664,,,,
2025-01-08 16:14,開倉,-1.0,96215.89585840383,-0.09183156169363148,96267.40037440845,-0.4598313545103979,,,,
2025-01-08 18:44,平倉,,,,,,96921.83669999999,0.4598313545103979,256.36264258616796,0.0
2025-01-19 10:29,開倉,1.0,106881.2139,0.0850677726307758,106881.2139,0.0850677726307758,,,,
2025-01-19 10:59,平倉,,,,,,104638.89837800001,-0.0850677726307758,181.84738897639997,0.0
2025-01-20 10:14,開倉,-1.0,99486.25475457704,-0.09303524478764649,99486.25475457702,-0.09303524478764649,,,,
2025-01-20 10:44,開倉,-1.0,100044.1529,-0.09242396177956111,99764.28439691121,-0.1854592065672076,,,,
2025-01-20 10:59,開倉,-1.0,99531.76058601915,-0.0928069096315199,99686.73339429751,-0.2782661161987275,,,,
2025-01-20 11:14,開倉,-1.0,100052.9485,-0.0922311899052144,99777.8985779675,-0.3704973061039419,,,,
2025-01-20 11:29,開倉,-1.0,100231.1277062598,-0.09197521085669631,99868.03549013482,-0.4624725169606382,,,,
2025-01-20 11:44,開倉,-1.0,100409.57010000001,-0.09171999169302356,99957.66057373435,-0.5541925086536618,,,,
2025-01-20 11:59,開倉,-1.0,100629.66034025978,-0.09142791443606009,100052.8241326269,-0.6456204230897219,,,,
2025-01-20 14:29,平倉,,,,,,101247.26186367596,0.6456204230897219,705.7860932331145,0.0
2025-01-20 20:29,開倉,1.0,106019.22141701894,0.0934405934272384,106019.22141701894,0.0934405934272384,,,,
2025-01-20 20:44,平倉,,,,,,103794.99007514666,-0.0934405934272384,198.13483103661233,0.0
2025-01-20 21:14,開倉,1.0,106086.59091472383,0.09515643139342049,106086.59091472383,0.09515643139342049,,,,
2025-01-20 23:44,平倉,,,,,,106515.9154,-0.09515643139342049,-50.988660324765,0.0
2025-01-27 18:14,開倉,-1.0,100216.42107838222,-0.10002032187702106,100216.42107838222,-0.10002032187702106,,,,
2025-01-27 18:29,開倉,-1.0,100389.54469549112,-0.0997480370803828,100302.86490296482,-0.19976835895740386,,,,
2025-01-27 18:44,開倉,-1.0,100278.65136989111,-0.09975853521077027,100294.80049660018,-0.29952689416817413,,,,
2025-01-27 18:59,開倉,-1.0,100136.79566655445,-0.09980000515796233,100255.31183986265,-0.39932689932613646,,,,
2025-01-27 19:14,開倉,-1.0,100046.50710009111,-0.09979023113858614,100213.56477895686,-0.4991171304647226,,,,
2025-01-27 20:59,開倉,-1.0,99949.85802658222,-0.09978688907429605,100169.62706007563,-0.5989040195390186,,,,
2025-01-27 21:14,開倉,-1.0,100508.6197504,-0.09913295717402738,100217.7697072037,-0.698036976713046,,,,
2025-01-27 21:29,開倉,-1.0,100386.6163826,-0.09915423311571345,100238.77076994326,-0.7971912098287595,,,,
2025-01-27 21:44,開倉,-1.0,100439.65505,-0.09900282091236137,100260.96251606115,-0.8961940307411208,,,,
2025-01-27 21:59,開倉,-1.0,100242.54480998222,-0.09909834554747317,100259.12871903357,-0.995292376288594,,,,
2025-01-27 22:14,開倉,-1.0,100158.26240968352,-0.0990826038907924,100249.99647756582,-1.0943749801793865,,,,
2025-01-27 22:29,開倉,-1.0,100439.755,-0.09870615934157452,100265.69560676279,-1.193081139520961,,,,
2025-01-27 22:44,開倉,-1.0,100384.7825,-0.09866150176505764,100274.7912976162,-1.2917426412860187,,,,
2025-01-27 22:59,開倉,-1.0,100439.755,-0.09850894433652856,100286.48011735482,-1.3902515856225472,,,,
2025-01-27 23:14,開倉,-1.0,100253.74805,-0.09859307167660765,100284.31256075513,-1.488844657299155,,,,
2025-01-27 23:29,開倉,-1.0,100349.8,-0.09840025176470063,100288.37241344221,-1.5872449090638556,,,,
